Importe €
291
1748
943
530
2041
326
2312
1328
1093
621
0
1540
2044
1135
1404
1107
521
0
1696
1603
1316
1584
1315
458
0
2383
891
1226
1325
1716
343
0
0
2291
1784
1782
1438
913
540
1983
1793
2457
1059
1640
642
0
1830
1147
1501
1747
1157
568
0
1989
913
1223
988
1600
620
0
1716
1530
1435
1229
1483
1033
446
2187
1560
1206
1259
1828
599
0
1940
1714
1175
1814
1425
424
0
2215
1116
1195
1172
1404
801
0
1247
1894
1671
2168
1251
1454
901
1356
2362
1922
2517
2509
1086
0
2268
1398
1799
1533
2133
504
0
1240
1738
2002
1890
1181
561
0
1376
1781
1923
1020
35
1523
345
2484
1923
1474
1479
2311
661
0
2014
1610
1414
1330
1490
508
0
2621
1512
1161
1900
1513
381
0
1573
1144
1784
1316
1289
840
249
1715
1817
1576
0
1755
566
0
2171
1665
1592
1659
1365
689
0
2070
2129
1459
1266
1535
649
0
1865
1529
952
2275
1311
1032
362
1976
1739
1549
1326
2571
739
0
1523
2009
1389
1244
1753
941
0
947
1439
957
1097
1997
448
0
1272
1358
1056
1216
1865
1098
278
1234
1081
1585
994
1647
969
0
1204
1920
1333
1977
1303
599
0
1845
1310
1386
628
1325
0
0
2457
1839
1437
1245
1863
896
479
1699
1637
1448
1639
1498
836
0
1886
0
0
1271
1051
852
0
1551
964
1809
1036
1458
585
0
1487
1651
718
1581
1155
995
506
1332
1047
874
1403
1666
773
0
1433
1204
1601
2010
1738
682
0
2281
1371
1432
914
1661
686
0
0
1856
1095
1378
1359
1003
546
2353
1071
1410
1874
1112
862
0
2011
1637
1491
1257
1372
1059
0
1348
2217
1156
1140
984
897
0
1653
1313
1369
2226
1934
1194
378
1126
1883
1084
1916
1434
665
0
1795
1564
1998
1913
1081
1080
0
1708
1802
2103
940
1625
585
0
0
0
3125
2543
2018
722
404
1136
2196
1410
864
1759
601
0
2194
2176
1761
1568
0
501
0
2663
1932
1968
1379
0
632
0
2461
1519
792
1752
1621
1229
528
1441
1193
1092
1002
1687
307
0
1495
1860
1970
1638
1854
294
0
766
1793
1405
1350
1584
988
0
1650
1504
1240
1598
1797
494
0
2226
2125
1224
1267
1170
855
239
1795
2045
1063
1820
1429
802
0
2365
2277
1072
1353
1264
543
0
2303
1489
1561
1049
1741
884
0
1780
1425
1451
1495
1201
1036
841
1484
1691
930
2147
1969
642
0
1876
1899
2093
0
0
798
0
1871
1321
1191
2642
1860
547
0
1903
1331
2158
1243
1702
1030
462
1584
1940
1627
2288
1050
1175
0
1578
1987
883
1574
1788
562
0
2668
1739
1028
1923
1314
1007
0
1356
2615
2331
1495
1705
1069
312
3022
1910
1742
1703
1776
766
0
2094
2479
1782
1275
2061
828
0
2181
1699
2576
0
1565
721
0
0
0
2703
1791
1354
768
0
2410
2534
1426
1802
1812
1181
0
2087
2191
1958
1676
1546
493
0
1762
1586
1681
1107
1758
1320
0
2157
2444
1793
1190
1359
806
800
2080
1429
1296
1394
2081
1020
0
2503
2212
1435
1609
1456
737
0
1868
1131
1580
1479
1430
628
0
1359
1408
2533
1042
1736
1162
692
2067
1736
1399
1404
1535
960
2
2287
2258
1383
1894
2076
817
0
0
2663
1702
1802
1705
1177
0
2368
2869
2172
1375
1877
1383
436
1978
1904
1827
0
931
757
0
1979
1564
1299
1122
1331
678
0
1562
2144
874
1462
1321
881
415
2496
1156
1106
1447
918
1598
390
1802
1441
1674
1906
1091
665
0
2826
1615
1856
1207
1496
977
0
1466
1899
0
2180
1758
792
0
1863
1730
1494
2720
2017
1057
599
1052
2565
1565
1190
1537
779
0
1545
0
2806
1337
2392
1122
0
1957
1648
1464
2454
1607
1501
0
1661
1456
1639
2388
1967
795
279
1357
2218
1641
1098
1210
983
0
2553
1628
1629
1179
3075
1236
0
0
0
2923
0
2437
1380
0
1347
2159
1659
3222
1944
900
491
2414
2011
2014
1284
2251
979
0
0
2864
1797
1971
1309
1611
0
1479
1868
2750
2388
0
1203
0
1757
1784
1733
1625
1441
997
0
2773
0
1887
1192
1384
947
585
2888
1147
1857
1636
2317
1051
0
1220
2103
1951
1670
2017
578
0
1507
1385
1243
933
1929
908
0
1451
1881
1514
978
1632
1212
295
2027
1790
3144
1706
2092
562
0
1484
1663
1297
1586
1524
1025
0
1724
1187
947
1661
1779
631
0
1576
1625
1264
1475
1450
1042
669
1983
2206
1340
1019
1195
1099
0
1427
970
1893
1711
1236
739
0
1352
1944
2134
1092
2224
817
0
2868
1945
1776
1825
1052
1273
481
2208
1396
2248
1876
2047
786
0
2604
1780
1883
1939
0
1393
0
0
2218
2155
1555
2049
463
0
2067
1769
1214
2442
1509
1427
623
1302
1317
1770
1522
2022
574
0
2172
1947
1212
1858
1524
811
0
2056
2241
0
2234
1512
574
0
1701
2430
1247
2006
933
805
359
1557
1788
1142
0
2636
661
0
3207
2445
1799
1305
1033
602
0
3043
2089
1497
2248
1640
753
216
2160
2118
1553
1097
1238
1027
0
2452
1371
1259
1154
2219
918
0
1688
1275
1684
1317
1507
663
0
1365
2029
1262
1259
1618
916
0
1895
1657
1517
953
1964
1399
289
1749
1779
1117
1705
2016
514
0
1819
0
2124
1547
1720
815
0
1376
1663
1746
2187
