Importe €
34842
33602
37047
43544
37881
38718
36614
36656
30001
37521
37057
39976
34254
37520
38508
39952
41063
44531
40263
47057
35346
40451
42793
44459
42012
37551
38540
41683
41816
42491
38013
42911
34923
41713
43338
42824
41367
36237
40349
42830
41534
42192
42871
48349
33035
44488
38961
42570
37863
34790
39294
39638
43629
38670
40903
43103
33511
39919
43735
40138
36616
34841
39791
40508
38177
38515
35705
34359
35617
38684
40226
44151
